order_id,customer_id,order_date,payment_method
ORD10000,CUST3709,2024-09-15,Card
ORD10001,CUST3808,2024-06-26,Card
ORD10002,CUST5362,2023-12-13,UPI
ORD10003,CUST5988,2024-06-10,UPI
ORD10004,CUST5796,2024-05-10,UPI
ORD10005,CUST1383,2023-11-28,Card
ORD10006,CUST1507,2023-02-13,UPI
ORD10007,CUST2542,2023-03-19,COD
ORD10008,CUST5594,2024-06-28,COD
ORD10009,CUST2358,2025-10-28,NetBanking
ORD10010,CUST3376,2025-03-25,Card
ORD10011,CUST1857,2024-09-14,Card
ORD10012,CUST2294,2025-01-11,NetBanking
ORD10013,CUST4228,2024-08-07,NetBanking
ORD10014,CUST5382,2024-04-18,Card
ORD10015,CUST3177,2023-03-10,COD
ORD10016,CUST3711,2023-09-26,Card
ORD10017,CUST4983,2025-05-06,Card
ORD10018,CUST4210,2024-05-12,NetBanking
ORD10019,CUST5504,2025-07-26,Card
ORD10020,CUST1877,2023-04-05,NetBanking
ORD10021,CUST3984,2024-02-14,UPI
ORD10022,CUST1644,2024-03-29,COD
ORD10023,CUST4855,2024-07-12,Card
ORD10024,CUST1001,2024-08-28,UPI
ORD10025,CUST2070,2025-04-02,COD
ORD10026,CUST5557,2024-01-27,Card
ORD10027,CUST5019,2024-10-06,NetBanking
ORD10028,CUST3792,2024-06-14,COD
ORD10029,CUST5708,2024-01-26,UPI
ORD10030,CUST2100,2025-09-28,Card
ORD10031,CUST4979,2024-12-22,Card
ORD10032,CUST3494,2024-09-01,NetBanking
ORD10033,CUST4865,2022-12-22,UPI
ORD10034,CUST1688,2025-08-07,UPI
ORD10035,CUST2228,2024-08-19,Card
ORD10036,CUST4156,2024-08-15,UPI
ORD10037,CUST4988,2024-11-15,NetBanking
ORD10038,CUST5730,2023-07-09,NetBanking
ORD10039,CUST5304,2023-11-16,COD
ORD10040,CUST1695,2025-02-05,COD
ORD10041,CUST4541,2025-02-03,Card
ORD10042,CUST2899,2024-05-16,COD
ORD10043,CUST2524,2025-03-22,UPI
ORD10044,CUST2665,2022-12-22,Card
ORD10045,CUST4232,2023-10-09,UPI
ORD10046,CUST2676,2025-03-18,NetBanking
ORD10047,CUST5186,2024-07-03,Card
ORD10048,CUST4952,2023-09-30,Card
ORD10049,CUST3741,2023-12-27,NetBanking
ORD10050,CUST3835,2023-01-02,NetBanking
ORD10051,CUST3619,2023-01-26,NetBanking
ORD10052,CUST3764,2023-08-28,Card
ORD10053,CUST4820,2023-01-26,COD
ORD10054,CUST3298,2024-09-06,UPI
ORD10055,CUST2567,2024-08-15,NetBanking
ORD10056,CUST5073,2023-02-20,Card
ORD10057,CUST4650,2023-10-29,NetBanking
ORD10058,CUST1855,2023-03-22,Card
ORD10059,CUST4944,2025-05-16,UPI
ORD10060,CUST1444,2025-03-22,UPI
ORD10061,CUST3534,2023-05-27,COD
ORD10062,CUST5642,2023-10-21,UPI
ORD10063,CUST5601,2023-10-15,Card
ORD10064,CUST2765,2025-11-17,Card
ORD10065,CUST1991,2023-11-26,Card
ORD10066,CUST3927,2022-12-26,NetBanking
ORD10067,CUST4771,2025-03-18,UPI
ORD10068,CUST1401,2025-02-22,NetBanking
ORD10069,CUST4736,2025-07-16,UPI
ORD10070,CUST2863,2025-06-01,COD
ORD10071,CUST5682,2023-03-01,Card
ORD10072,CUST1854,2024-08-20,Card
ORD10073,CUST1774,2025-07-03,NetBanking
ORD10074,CUST4645,2025-01-20,NetBanking
ORD10075,CUST1434,2022-11-25,NetBanking
ORD10076,CUST5754,2023-01-12,NetBanking
ORD10077,CUST1586,2024-12-30,COD
ORD10078,CUST4018,2025-08-02,Card
ORD10079,CUST2661,2023-11-21,Card
ORD10080,CUST5731,2025-06-23,Card
ORD10081,CUST2947,2023-07-07,COD
ORD10082,CUST4330,2024-04-11,COD
ORD10083,CUST3171,2023-11-03,NetBanking
ORD10084,CUST4066,2024-11-10,Card
ORD10085,CUST5015,2024-01-14,UPI
ORD10086,CUST1053,2024-03-03,UPI
ORD10087,CUST3214,2022-12-18,UPI
ORD10088,CUST5166,2023-12-19,COD
ORD10089,CUST4766,2023-09-27,NetBanking
ORD10090,CUST2082,2024-04-18,NetBanking
ORD10091,CUST4159,2023-06-05,UPI
ORD10092,CUST3738,2024-10-23,Card
ORD10093,CUST1900,2023-05-23,NetBanking
ORD10094,CUST2179,2023-07-28,Card
ORD10095,CUST5353,2024-01-27,Card
ORD10096,CUST5286,2025-11-20,Card
ORD10097,CUST1335,2024-02-09,UPI
ORD10098,CUST5586,2025-05-06,COD
ORD10099,CUST2184,2025-11-07,COD
ORD10100,CUST4768,2024-06-14,Card
ORD10101,CUST1676,2025-09-14,UPI
ORD10102,CUST4220,2024-10-20,NetBanking
ORD10103,CUST5116,2023-08-02,UPI
ORD10104,CUST2471,2024-11-10,COD
ORD10105,CUST2327,2023-10-06,Card
ORD10106,CUST1106,2023-05-03,COD
ORD10107,CUST2706,2023-12-20,COD
ORD10108,CUST2967,2023-12-22,Card
ORD10109,CUST2444,2024-09-08,UPI
ORD10110,CUST1273,2023-02-05,UPI
ORD10111,CUST1746,2024-02-15,COD
ORD10112,CUST4952,2025-01-21,NetBanking
ORD10113,CUST1977,2023-09-25,UPI
ORD10114,CUST3232,2025-08-04,Card
ORD10115,CUST3423,2023-10-24,NetBanking
ORD10116,CUST3187,2025-05-20,UPI
ORD10117,CUST2603,2024-08-03,COD
ORD10118,CUST1471,2023-12-03,UPI
ORD10119,CUST5315,2023-05-12,UPI
ORD10120,CUST2375,2025-06-23,Card
ORD10121,CUST5598,2023-03-18,NetBanking
ORD10122,CUST2389,2024-11-14,NetBanking
ORD10123,CUST1601,2024-12-28,NetBanking
ORD10124,CUST2812,2025-10-11,Card
ORD10125,CUST4414,2025-06-09,Card
ORD10126,CUST2105,2024-12-05,COD
ORD10127,CUST5932,2023-07-23,Card
ORD10128,CUST1421,2023-04-09,UPI
ORD10129,CUST2609,2023-06-04,NetBanking
ORD10130,CUST3358,2023-02-08,COD
ORD10131,CUST1932,2023-03-12,UPI
ORD10132,CUST5396,2024-05-26,Card
ORD10133,CUST5492,2024-09-16,COD
ORD10134,CUST2422,2025-08-21,Card
ORD10135,CUST1102,2024-03-18,Card
ORD10136,CUST2354,2025-06-08,COD
ORD10137,CUST1467,2025-09-26,COD
ORD10138,CUST5551,2023-03-28,COD
ORD10139,CUST5347,2024-10-19,Card
ORD10140,CUST1112,2024-02-01,NetBanking
ORD10141,CUST1865,2024-10-09,NetBanking
ORD10142,CUST4006,2023-02-13,NetBanking
ORD10143,CUST3048,2024-02-26,COD
ORD10144,CUST4495,2023-05-03,UPI
ORD10145,CUST2532,2025-10-13,UPI
ORD10146,CUST1578,2025-04-23,Card
ORD10147,CUST2791,2023-12-29,COD
ORD10148,CUST2812,2024-02-05,NetBanking
ORD10149,CUST1760,2023-03-27,COD
ORD10150,CUST3285,2025-03-30,UPI
ORD10151,CUST4997,2023-05-29,NetBanking
ORD10152,CUST2939,2024-10-26,UPI
ORD10153,CUST5951,2022-12-09,NetBanking
ORD10154,CUST5611,2024-04-19,UPI
ORD10155,CUST5141,2025-01-03,UPI
ORD10156,CUST1475,2025-04-22,Card
ORD10157,CUST1746,2024-12-07,COD
ORD10158,CUST2797,2022-11-24,Card
ORD10159,CUST2722,2024-11-10,Card
ORD10160,CUST2618,2025-08-11,Card
ORD10161,CUST3385,2025-03-27,COD
ORD10162,CUST3438,2023-11-17,UPI
ORD10163,CUST1896,2024-12-22,Card
ORD10164,CUST3078,2024-01-22,UPI
ORD10165,CUST3090,2025-06-17,UPI
ORD10166,CUST3925,2024-07-28,UPI
ORD10167,CUST1869,2025-03-13,COD
ORD10168,CUST4117,2025-01-18,NetBanking
ORD10169,CUST1470,2023-12-01,Card
ORD10170,CUST5406,2024-07-27,Card
ORD10171,CUST2095,2023-10-11,Card
ORD10172,CUST4969,2023-03-02,Card
ORD10173,CUST3239,2024-08-21,COD
ORD10174,CUST2156,2025-07-31,NetBanking
ORD10175,CUST3880,2023-07-14,COD
ORD10176,CUST2844,2024-10-22,Card
ORD10177,CUST1314,2024-03-04,NetBanking
ORD10178,CUST3792,2023-02-20,Card
ORD10179,CUST4705,2023-08-30,NetBanking
ORD10180,CUST2271,2024-02-27,Card
ORD10181,CUST2166,2025-01-06,COD
ORD10182,CUST1317,2023-03-13,UPI
ORD10183,CUST4423,2024-12-21,Card
ORD10184,CUST5782,2025-09-20,NetBanking
ORD10185,CUST2689,2024-12-09,NetBanking
ORD10186,CUST1502,2025-08-30,UPI
ORD10187,CUST3553,2023-12-18,Card
ORD10188,CUST2024,2025-06-07,NetBanking
ORD10189,CUST2170,2025-09-22,UPI
ORD10190,CUST2846,2024-09-13,UPI
ORD10191,CUST2426,2023-07-07,UPI
ORD10192,CUST3172,2025-02-13,COD
ORD10193,CUST2744,2023-12-13,UPI
ORD10194,CUST5265,2025-01-31,COD
ORD10195,CUST4726,2025-10-10,COD
ORD10196,CUST1236,2024-08-05,COD
ORD10197,CUST1971,2022-12-26,Card
ORD10198,CUST4899,2024-04-03,COD
ORD10199,CUST3630,2024-02-24,COD
ORD10200,CUST3874,2023-09-24,NetBanking
ORD10201,CUST5239,2023-08-05,Card
ORD10202,CUST1224,2025-09-15,COD
ORD10203,CUST3117,2024-03-06,UPI
ORD10204,CUST5311,2025-11-09,Card
ORD10205,CUST3526,2025-04-09,UPI
ORD10206,CUST2536,2024-04-16,Card
ORD10207,CUST5972,2022-12-23,NetBanking
ORD10208,CUST1843,2024-03-26,UPI
ORD10209,CUST2425,2025-02-12,COD
ORD10210,CUST4529,2024-06-21,Card
ORD10211,CUST2715,2024-10-24,COD
ORD10212,CUST2363,2023-03-17,NetBanking
ORD10213,CUST3986,2025-07-09,UPI
ORD10214,CUST4278,2024-03-01,COD
ORD10215,CUST3275,2025-08-25,NetBanking
ORD10216,CUST4000,2025-03-17,COD
ORD10217,CUST5310,2023-03-03,COD
ORD10218,CUST1735,2025-03-29,UPI
ORD10219,CUST3686,2024-06-30,Card
ORD10220,CUST2110,2022-12-29,Card
ORD10221,CUST2890,2024-03-06,UPI
ORD10222,CUST1867,2025-07-29,Card
ORD10223,CUST3842,2024-01-08,Card
ORD10224,CUST1904,2024-01-06,Card
ORD10225,CUST5547,2024-11-30,Card
ORD10226,CUST3838,2024-04-14,COD
ORD10227,CUST5738,2024-03-29,Card
ORD10228,CUST2471,2023-03-03,COD
ORD10229,CUST4835,2025-07-17,NetBanking
ORD10230,CUST4860,2023-11-08,UPI
ORD10231,CUST4833,2025-04-17,NetBanking
ORD10232,CUST2898,2024-10-06,COD
ORD10233,CUST1406,2025-01-19,NetBanking
ORD10234,CUST2383,2023-06-05,COD
ORD10235,CUST3263,2025-09-02,COD
ORD10236,CUST5463,2024-01-31,NetBanking
ORD10237,CUST3908,2023-03-08,Card
ORD10238,CUST1156,2024-11-10,Card
ORD10239,CUST1982,2023-11-09,Card
ORD10240,CUST2386,2024-10-01,UPI
