order_item_id,order_id,product_id,quantity,unit_price,total_price
ITEM100000,ORD13122,PROD1118,6,3123.46,18740.76
ITEM100001,ORD13909,PROD1195,3,2170.32,6510.96
ITEM100002,ORD22497,PROD1169,5,3218.73,16093.65
ITEM100003,ORD16957,PROD1020,5,1132.25,5661.25
ITEM100004,ORD10100,PROD1160,10,2908.97,29089.7
ITEM100005,ORD19300,PROD1069,8,1643.69,13149.52
ITEM100006,ORD18726,PROD1141,1,439.38,439.38
ITEM100007,ORD16833,PROD1082,1,3248.1,3248.1
ITEM100008,ORD16540,PROD1062,6,4075.68,24454.08
ITEM100009,ORD17198,PROD1035,2,4329.66,8659.32
ITEM100010,ORD15729,PROD1252,1,4092.95,4092.95
ITEM100011,ORD20748,PROD1137,10,1346.58,13465.8
ITEM100012,ORD22269,PROD1118,4,3123.46,12493.84
ITEM100013,ORD23407,PROD1235,6,1308.47,7850.82
ITEM100014,ORD14542,PROD1016,4,2581.93,10327.72
ITEM100015,ORD18042,PROD1015,2,997.64,1995.28
ITEM100016,ORD10122,PROD1039,8,1698.89,13591.12
ITEM100017,ORD13750,PROD1178,5,3893.15,19465.75
ITEM100018,ORD15233,PROD1285,3,4189.26,12567.78
ITEM100019,ORD23688,PROD1201,2,1725.94,3451.88
ITEM100020,ORD21331,PROD1229,5,1233.33,6166.65
ITEM100021,ORD16809,PROD1259,6,3411.14,20466.84
ITEM100022,ORD21303,PROD1119,6,1981.72,11890.32
ITEM100023,ORD19841,PROD1038,9,2632.72,23694.48
ITEM100024,ORD22021,PROD1191,9,1130.89,10178.01
ITEM100025,ORD17179,PROD1170,8,3691.51,29532.08
ITEM100026,ORD12896,PROD1139,8,2449.39,19595.12
ITEM100027,ORD22958,PROD1159,9,1271.03,11439.27
ITEM100028,ORD19033,PROD1218,5,4863.62,24318.1
ITEM100029,ORD15057,PROD1094,1,3929.4,3929.4
ITEM100030,ORD21645,PROD1069,4,1643.69,6574.76
ITEM100031,ORD11423,PROD1082,10,3248.1,32481.0
ITEM100032,ORD22025,PROD1083,1,3887.08,3887.08
ITEM100033,ORD24456,PROD1016,2,2581.93,5163.86
ITEM100034,ORD15784,PROD1272,5,2463.29,12316.45
ITEM100035,ORD10564,PROD1088,5,2929.74,14648.7
ITEM100036,ORD15379,PROD1049,10,4206.01,42060.1
ITEM100037,ORD20739,PROD1134,6,626.82,3760.92
ITEM100038,ORD18152,PROD1065,1,1387.72,1387.72
ITEM100039,ORD10771,PROD1085,3,3549.13,10647.39
ITEM100040,ORD21048,PROD1117,7,400.72,2805.04
ITEM100041,ORD15516,PROD1285,3,4189.26,12567.78
ITEM100042,ORD17219,PROD1059,8,404.16,3233.28
ITEM100043,ORD10152,PROD1278,1,1283.03,1283.03
ITEM100044,ORD17283,PROD1105,8,1349.39,10795.12
ITEM100045,ORD21622,PROD1166,10,699.22,6992.2
ITEM100046,ORD22323,PROD1172,1,3825.69,3825.69
ITEM100047,ORD16189,PROD1158,4,4347.46,17389.84
ITEM100048,ORD17738,PROD1020,4,1132.25,4529.0
ITEM100049,ORD10404,PROD1115,3,4280.26,12840.78
ITEM100050,ORD23640,PROD1114,9,3339.09,30051.81
ITEM100051,ORD11812,PROD1265,2,2046.66,4093.32
ITEM100052,ORD15008,PROD1160,3,2908.97,8726.91
ITEM100053,ORD12605,PROD1191,9,1130.89,10178.01
ITEM100054,ORD20829,PROD1277,2,4533.34,9066.68
ITEM100055,ORD16226,PROD1273,4,612.55,2450.2
ITEM100056,ORD19049,PROD1001,2,645.25,1290.5
ITEM100057,ORD12250,PROD1085,4,3549.13,14196.52
ITEM100058,ORD16581,PROD1085,7,3549.13,24843.91
ITEM100059,ORD16548,PROD1231,4,666.04,2664.16
ITEM100060,ORD18664,PROD1161,4,2227.52,8910.08
ITEM100061,ORD14882,PROD1070,5,1262.34,6311.7
ITEM100062,ORD17152,PROD1249,3,3106.19,9318.57
ITEM100063,ORD24559,PROD1275,3,4493.4,13480.2
ITEM100064,ORD10145,PROD1166,9,699.22,6292.98
ITEM100065,ORD24988,PROD1070,9,1262.34,11361.06
ITEM100066,ORD22400,PROD1282,4,2895.52,11582.08
ITEM100067,ORD13214,PROD1249,8,3106.19,24849.52
ITEM100068,ORD18316,PROD1089,4,3456.71,13826.84
ITEM100069,ORD21250,PROD1214,9,740.61,6665.49
ITEM100070,ORD24898,PROD1078,8,2486.64,19893.12
ITEM100071,ORD18138,PROD1157,6,1721.69,10330.14
ITEM100072,ORD12329,PROD1116,10,2606.82,26068.2
ITEM100073,ORD18993,PROD1180,9,282.77,2544.93
ITEM100074,ORD18511,PROD1106,5,884.73,4423.65
ITEM100075,ORD24462,PROD1008,10,4741.88,47418.8
ITEM100076,ORD14044,PROD1282,7,2895.52,20268.64
ITEM100077,ORD13004,PROD1269,7,1436.17,10053.19
ITEM100078,ORD19100,PROD1273,3,612.55,1837.65
ITEM100079,ORD13258,PROD1185,8,3546.21,28369.68
ITEM100080,ORD13909,PROD1132,7,3538.86,24772.02
ITEM100081,ORD15245,PROD1202,7,1253.59,8775.13
ITEM100082,ORD23040,PROD1002,1,2372.41,2372.41
ITEM100083,ORD16681,PROD1088,3,2929.74,8789.22
ITEM100084,ORD22768,PROD1135,2,4872.38,9744.76
ITEM100085,ORD10220,PROD1225,1,2079.31,2079.31
ITEM100086,ORD17524,PROD1187,1,1486.93,1486.93
ITEM100087,ORD23515,PROD1063,4,4507.89,18031.56
ITEM100088,ORD19343,PROD1063,6,4507.89,27047.34
ITEM100089,ORD22773,PROD1171,6,4799.24,28795.44
ITEM100090,ORD11813,PROD1137,8,1346.58,10772.64
ITEM100091,ORD11998,PROD1277,7,4533.34,31733.38
ITEM100092,ORD22673,PROD1005,5,3427.98,17139.9
ITEM100093,ORD23904,PROD1113,2,3940.66,7881.32
ITEM100094,ORD12941,PROD1103,1,3335.25,3335.25
ITEM100095,ORD17327,PROD1014,1,3708.82,3708.82
ITEM100096,ORD19610,PROD1121,9,3347.35,30126.15
ITEM100097,ORD12421,PROD1074,3,4842.78,14528.34
ITEM100098,ORD16920,PROD1201,3,1725.94,5177.82
ITEM100099,ORD16066,PROD1026,10,3252.12,32521.2
ITEM100100,ORD11713,PROD1069,2,1643.69,3287.38
ITEM100101,ORD15349,PROD1287,8,4207.0,33656.0
ITEM100102,ORD13403,PROD1086,1,1500.17,1500.17
ITEM100103,ORD14166,PROD1091,3,2645.13,7935.39
ITEM100104,ORD11132,PROD1084,3,3372.26,10116.78
ITEM100105,ORD10251,PROD1049,8,4206.01,33648.08
ITEM100106,ORD15914,PROD1162,3,2276.21,6828.63
ITEM100107,ORD20019,PROD1136,9,2226.64,20039.76
ITEM100108,ORD18783,PROD1146,6,2519.34,15116.04
ITEM100109,ORD18176,PROD1173,1,3699.86,3699.86
ITEM100110,ORD23977,PROD1157,1,1721.69,1721.69
ITEM100111,ORD16612,PROD1052,6,1090.42,6542.52
ITEM100112,ORD21265,PROD1141,1,439.38,439.38
ITEM100113,ORD19545,PROD1091,9,2645.13,23806.17
ITEM100114,ORD18185,PROD1153,9,1694.42,15249.78
ITEM100115,ORD19476,PROD1224,1,2155.03,2155.03
ITEM100116,ORD13964,PROD1250,10,3133.08,31330.8
ITEM100117,ORD23023,PROD1244,4,1210.8,4843.2
ITEM100118,ORD13363,PROD1014,4,3708.82,14835.28
ITEM100119,ORD21091,PROD1073,5,3636.83,18184.15
ITEM100120,ORD12061,PROD1156,9,1519.27,13673.43
ITEM100121,ORD11471,PROD1026,10,3252.12,32521.2
ITEM100122,ORD21225,PROD1158,4,4347.46,17389.84
ITEM100123,ORD22536,PROD1047,3,2285.28,6855.84
ITEM100124,ORD20227,PROD1063,4,4507.89,18031.56
ITEM100125,ORD13993,PROD1182,3,2159.95,6479.85
ITEM100126,ORD17057,PROD1202,3,1253.59,3760.77
ITEM100127,ORD13114,PROD1288,1,3376.8,3376.8
ITEM100128,ORD21394,PROD1264,9,608.23,5474.07
ITEM100129,ORD17362,PROD1283,5,2364.48,11822.4
ITEM100130,ORD18301,PROD1141,5,439.38,2196.9
ITEM100131,ORD22260,PROD1155,7,2189.7,15327.9
ITEM100132,ORD10183,PROD1240,6,4778.79,28672.74
ITEM100133,ORD17414,PROD1200,7,3087.05,21609.35
ITEM100134,ORD10078,PROD1187,5,1486.93,7434.65
ITEM100135,ORD24913,PROD1227,10,4826.71,48267.1
ITEM100136,ORD22498,PROD1254,4,1650.17,6600.68
ITEM100137,ORD10236,PROD1218,5,4863.62,24318.1
ITEM100138,ORD14890,PROD1055,8,3039.56,24316.48
ITEM100139,ORD12934,PROD1179,2,4238.13,8476.26
ITEM100140,ORD20777,PROD1095,1,795.75,795.75
ITEM100141,ORD14818,PROD1152,7,4899.54,34296.78
ITEM100142,ORD12490,PROD1103,9,3335.25,30017.25
ITEM100143,ORD24969,PROD1010,6,3169.27,19015.62
ITEM100144,ORD19769,PROD1138,1,4627.04,4627.04
ITEM100145,ORD20224,PROD1217,10,2243.12,22431.2
ITEM100146,ORD23962,PROD1180,8,282.77,2262.16
ITEM100147,ORD13318,PROD1076,2,3761.52,7523.04
ITEM100148,ORD15261,PROD1118,8,3123.46,24987.68
ITEM100149,ORD18376,PROD1192,6,3111.02,18666.12
ITEM100150,ORD16907,PROD1211,3,4093.38,12280.14
ITEM100151,ORD23341,PROD1271,7,3320.4,23242.8
ITEM100152,ORD20847,PROD1227,2,4826.71,9653.42
ITEM100153,ORD23824,PROD1268,6,4633.46,27800.76
ITEM100154,ORD24468,PROD1262,4,2076.04,8304.16
ITEM100155,ORD12561,PROD1117,5,400.72,2003.6
ITEM100156,ORD18820,PROD1170,3,3691.51,11074.53
ITEM100157,ORD19852,PROD1208,1,2471.88,2471.88
ITEM100158,ORD17976,PROD1295,6,4553.94,27323.64
ITEM100159,ORD19289,PROD1165,5,2690.86,13454.3
ITEM100160,ORD21508,PROD1076,9,3761.52,33853.68
ITEM100161,ORD23998,PROD1010,9,3169.27,28523.43
ITEM100162,ORD16264,PROD1202,10,1253.59,12535.9
ITEM100163,ORD22801,PROD1128,8,2156.52,17252.16
ITEM100164,ORD11942,PROD1200,9,3087.05,27783.45
ITEM100165,ORD14602,PROD1284,6,3056.86,18341.16
ITEM100166,ORD23730,PROD1143,2,2409.9,4819.8
ITEM100167,ORD23774,PROD1233,2,1847.95,3695.9
ITEM100168,ORD22972,PROD1089,6,3456.71,20740.26
ITEM100169,ORD10340,PROD1146,1,2519.34,2519.34
ITEM100170,ORD15703,PROD1212,3,3926.1,11778.3
ITEM100171,ORD15116,PROD1207,4,1554.5,6218.0
ITEM100172,ORD17034,PROD1123,10,3883.3,38833.0
ITEM100173,ORD13127,PROD1259,8,3411.14,27289.12
ITEM100174,ORD10655,PROD1035,10,4329.66,43296.6
ITEM100175,ORD24497,PROD1103,10,3335.25,33352.5
ITEM100176,ORD15861,PROD1089,4,3456.71,13826.84
ITEM100177,ORD19849,PROD1283,6,2364.48,14186.88
ITEM100178,ORD19092,PROD1273,1,612.55,612.55
ITEM100179,ORD19222,PROD1094,1,3929.4,3929.4
ITEM100180,ORD16479,PROD1121,3,3347.35,10042.05
ITEM100181,ORD14476,PROD1223,1,1279.49,1279.49
ITEM100182,ORD17126,PROD1105,8,1349.39,10795.12
ITEM100183,ORD11012,PROD1138,3,4627.04,13881.12
ITEM100184,ORD16152,PROD1001,5,645.25,3226.25
ITEM100185,ORD19197,PROD1079,5,3543.11,17715.55
ITEM100186,ORD21386,PROD1106,10,884.73,8847.3
ITEM100187,ORD15861,PROD1108,6,3704.03,22224.18
ITEM100188,ORD21122,PROD1144,4,754.84,3019.36
ITEM100189,ORD24085,PROD1024,7,2129.47,14906.29
ITEM100190,ORD12057,PROD1031,6,3680.01,22080.06
ITEM100191,ORD10025,PROD1248,8,1644.28,13154.24
ITEM100192,ORD19092,PROD1171,2,4799.24,9598.48
ITEM100193,ORD14861,PROD1064,3,2746.66,8239.98
ITEM100194,ORD22853,PROD1144,1,754.84,754.84
ITEM100195,ORD10675,PROD1070,2,1262.34,2524.68
ITEM100196,ORD22868,PROD1178,8,3893.15,31145.2
ITEM100197,ORD14574,PROD1271,8,3320.4,26563.2
ITEM100198,ORD17153,PROD1001,1,645.25,645.25
